ID,START_TIME,END_TIME,SATURATION
1,2023/8/28 0:00,2023/8/28 0:05,0.004848485
2,2023/8/28 0:05,2023/8/28 0:10,0.004848485
3,2023/8/28 0:10,2023/8/28 0:15,0.004545455
4,2023/8/28 0:15,2023/8/28 0:20,0.004545455
5,2023/8/28 0:20,2023/8/28 0:25,0.004545455
6,2023/8/28 0:25,2023/8/28 0:30,0.004545455
7,2023/8/28 0:30,2023/8/28 0:35,0.004242424
8,2023/8/28 0:35,2023/8/28 0:40,0.004242424
9,2023/8/28 0:40,2023/8/28 0:45,0.004242424
10,2023/8/28 0:45,2023/8/28 0:50,0.003939394
11,2023/8/28 0:50,2023/8/28 0:55,0.003939394
12,2023/8/28 0:55,2023/8/28 1:00,0.003939394
13,2023/8/28 1:00,2023/8/28 1:05,0.003939394
14,2023/8/28 1:05,2023/8/28 1:10,0.003636364
15,2023/8/28 1:10,2023/8/28 1:15,0.003636364
16,2023/8/28 1:15,2023/8/28 1:20,0.003636364
17,2023/8/28 1:20,2023/8/28 1:25,0.003636364
18,2023/8/28 1:25,2023/8/28 1:30,0.003333333
19,2023/8/28 1:30,2023/8/28 1:35,0.003333333
20,2023/8/28 1:35,2023/8/28 1:40,0.003333333
21,2023/8/28 1:40,2023/8/28 1:45,0.003333333
22,2023/8/28 1:45,2023/8/28 1:50,0.003333333
23,2023/8/28 1:50,2023/8/28 1:55,0.003030303
24,2023/8/28 1:55,2023/8/28 2:00,0.003030303
25,2023/8/28 2:00,2023/8/28 2:05,0.003030303
26,2023/8/28 2:05,2023/8/28 2:10,0.003030303
27,2023/8/28 2:10,2023/8/28 2:15,0.003030303
28,2023/8/28 2:15,2023/8/28 2:20,0.003030303
29,2023/8/28 2:20,2023/8/28 2:25,0.003030303
30,2023/8/28 2:25,2023/8/28 2:30,0.003030303
31,2023/8/28 2:30,2023/8/28 2:35,0.003030303
32,2023/8/28 2:35,2023/8/28 2:40,0.003030303
33,2023/8/28 2:40,2023/8/28 2:45,0.003030303
34,2023/8/28 2:45,2023/8/28 2:50,0.003030303
35,2023/8/28 2:50,2023/8/28 2:55,0.003030303
36,2023/8/28 2:55,2023/8/28 3:00,0.003030303
37,2023/8/28 3:00,2023/8/28 3:05,0.003030303
38,2023/8/28 3:05,2023/8/28 3:10,0.003030303
39,2023/8/28 3:10,2023/8/28 3:15,0.003030303
40,2023/8/28 3:15,2023/8/28 3:20,0.003030303
41,2023/8/28 3:20,2023/8/28 3:25,0.003030303
42,2023/8/28 3:25,2023/8/28 3:30,0.003030303
43,2023/8/28 3:30,2023/8/28 3:35,0.003030303
44,2023/8/28 3:35,2023/8/28 3:40,0.003030303
45,2023/8/28 3:40,2023/8/28 3:45,0.003030303
46,2023/8/28 3:45,2023/8/28 3:50,0.003030303
47,2023/8/28 3:50,2023/8/28 3:55,0.003333333
48,2023/8/28 3:55,2023/8/28 4:00,0.003333333
49,2023/8/28 4:00,2023/8/28 4:05,0.003333333
50,2023/8/28 4:05,2023/8/28 4:10,0.003333333
51,2023/8/28 4:10,2023/8/28 4:15,0.003333333
52,2023/8/28 4:15,2023/8/28 4:20,0.003333333
53,2023/8/28 4:20,2023/8/28 4:25,0.003333333
54,2023/8/28 4:25,2023/8/28 4:30,0.003333333
55,2023/8/28 4:30,2023/8/28 4:35,0.003333333
56,2023/8/28 4:35,2023/8/28 4:40,0.003636364
57,2023/8/28 4:40,2023/8/28 4:45,0.003636364
58,2023/8/28 4:45,2023/8/28 4:50,0.003636364
59,2023/8/28 4:50,2023/8/28 4:55,0.004242424
60,2023/8/28 4:55,2023/8/28 5:00,0.004545455
61,2023/8/28 5:00,2023/8/28 5:05,0.005454545
62,2023/8/28 5:05,2023/8/28 5:10,0.006666667
63,2023/8/28 5:10,2023/8/28 5:15,0.007878788
64,2023/8/28 5:15,2023/8/28 5:20,0.008484848
65,2023/8/28 5:20,2023/8/28 5:25,0.009090909
66,2023/8/28 5:25,2023/8/28 5:30,0.01
67,2023/8/28 5:30,2023/8/28 5:35,0.010606061
68,2023/8/28 5:35,2023/8/28 5:40,0.010909091
69,2023/8/28 5:40,2023/8/28 5:45,0.011515152
70,2023/8/28 5:45,2023/8/28 5:50,0.012424242
71,2023/8/28 5:50,2023/8/28 5:55,0.013030303
72,2023/8/28 5:55,2023/8/28 6:00,0.013939394
73,2023/8/28 6:00,2023/8/28 6:05,0.015151515
74,2023/8/28 6:05,2023/8/28 6:10,0.016969697
75,2023/8/28 6:10,2023/8/28 6:15,0.018787879
76,2023/8/28 6:15,2023/8/28 6:20,0.020606061
77,2023/8/28 6:20,2023/8/28 6:25,0.023030303
78,2023/8/28 6:25,2023/8/28 6:30,0.025454545
