id_encode,ds,power
0,20230415,2135.6842351958426
0,20230416,2135.6842351958426
0,20230417,2135.6842351958426
0,20230418,2135.6842351958426
0,20230419,2135.6842351958426
0,20230420,2135.6842351958426
0,20230421,2135.6842351958426
1,20230415,260.448202886935
1,20230416,260.448202886935
1,20230417,260.448202886935
1,20230418,260.448202886935
1,20230419,260.448202886935
1,20230420,260.448202886935
1,20230421,260.448202886935
2,20230415,857.6063263219712
2,20230416,857.6063263219712
2,20230417,857.6063263219712
2,20230418,857.6063263219712
2,20230419,857.6063263219712
2,20230420,857.6063263219712
2,20230421,857.6063263219712
3,20230415,301.7079676349692
3,20230416,301.7079676349692
3,20230417,301.7079676349692
3,20230418,301.7079676349692
3,20230419,301.7079676349692
3,20230420,301.7079676349692
3,20230421,301.7079676349692
4,20230415,923.2887528042335
4,20230416,923.2887528042335
4,20230417,923.2887528042335
4,20230418,923.2887528042335
4,20230419,923.2887528042335
4,20230420,923.2887528042335
4,20230421,923.2887528042335
5,20230415,723.4560519880498
5,20230416,723.4560519880498
5,20230417,723.4560519880498
5,20230418,723.4560519880498
5,20230419,723.4560519880498
5,20230420,723.4560519880498
5,20230421,723.4560519880498
6,20230415,723.4560519880498
6,20230416,723.4560519880498
6,20230417,723.4560519880498
6,20230418,723.4560519880498
6,20230419,723.4560519880498
6,20230420,723.4560519880498
6,20230421,723.4560519880498
7,20230415,911.4473895224411
7,20230416,911.4473895224411
7,20230417,911.4473895224411
7,20230418,911.4473895224411
7,20230419,911.4473895224411
7,20230420,911.4473895224411
7,20230421,911.4473895224411
8,20230415,2338.5065718679934
8,20230416,2338.5065718679934
8,20230417,2338.5065718679934
8,20230418,2338.5065718679934
8,20230419,2338.5065718679934
8,20230420,2338.5065718679934
8,20230421,2338.5065718679934
9,20230415,2869.119786583416
9,20230416,2869.119786583416
9,20230417,2869.119786583416
9,20230418,2869.119786583416
9,20230419,2869.119786583416
9,20230420,2869.119786583416
9,20230421,2869.119786583416
10,20230415,920.6126224591643
10,20230416,920.6126224591643
10,20230417,920.6126224591643
10,20230418,920.6126224591643
10,20230419,920.6126224591643
10,20230420,920.6126224591643
10,20230421,920.6126224591643
11,20230415,2790.536205008512
11,20230416,2790.536205008512
11,20230417,2790.536205008512
11,20230418,2790.536205008512
11,20230419,2790.536205008512
11,20230420,2790.536205008512
11,20230421,2790.536205008512
12,20230415,1684.9328906823362
12,20230416,1684.9328906823362
12,20230417,1684.9328906823362
12,20230418,1684.9328906823362
12,20230419,1684.9328906823362
12,20230420,1684.9328906823362
12,20230421,1684.9328906823362
13,20230415,485.3147954532664
13,20230416,485.3147954532664
13,20230417,485.3147954532664
13,20230418,485.3147954532664
13,20230419,485.3147954532664
13,20230420,485.3147954532664
13,20230421,485.3147954532664
14,20230415,348.0534035019991
14,20230416,348.0534035019991
14,20230417,348.0534035019991
14,20230418,348.0534035019991
14,20230419,348.0534035019991
14,20230420,348.0534035019991
14,20230421,348.0534035019991
15,20230415,1754.9040979176912
15,20230416,1754.9040979176912
15,20230417,1754.9040979176912
15,20230418,1754.9040979176912
15,20230419,1754.9040979176912
15,20230420,1754.9040979176912
15,20230421,1754.9040979176912
16,20230415,1125.86869422915
16,20230416,1125.86869422915
16,20230417,1125.86869422915
16,20230418,1125.86869422915
16,20230419,1125.86869422915
16,20230420,1125.86869422915
